Id,target
0,-241.97210192476754
6,-208.9524891207944
7,-92.13703150342066
8,-137.91601844583326
12,299.09932217474244
14,-177.88872698675036
17,22.070167512135328
19,-23.04193990763666
22,115.94068778757857
23,242.891546128934
25,-296.7627359150197
26,-150.44188138252372
29,-63.944696600713826
30,-9.989550445947293
31,-3.7698986916095887
32,126.36397152190652
33,-608.8522955210748
43,31.939745616439247
44,-416.27962191768023
45,-131.6361043380464
47,-5.791984773211132
48,-216.472982890182
51,38.98351666542259
52,-19.67237941301594
56,160.33618367042558
58,-31.600269226665603
59,-38.46020140849957
61,-127.71097493983584
63,-302.6310577299767
65,86.53198180480804
67,-131.5619827474244
68,87.5610243137803
69,-111.64478180487362
70,-44.62906561801592
73,-167.56622381968808
75,-123.87458852674189
76,133.12123303552514
79,288.0960073810195
80,39.36466937996587
82,278.6132250310948
84,103.05974749477059
87,118.14441686133945
88,118.13698106165573
90,57.68567129889443
92,-234.29373240292708
93,-179.89436484337392
95,116.4737514182004
96,-183.53510094796667
99,-27.520500145674923
100,-39.47066322034395
102,409.1423321113815
103,-198.8180290470161
106,-234.35646534954952
108,121.48081265292588
109,-234.9122912682046
111,-107.82037647791219
112,95.6432252993823
113,147.4122918802071
120,219.98076794811834
121,-159.269214636793
122,-159.13935937046298
124,53.78102376090171
131,-192.39165050379137
132,-262.52289138205305
134,166.36617844341077
135,-76.45782081257117
138,-104.4898388194345
139,15.926360318050024
141,-4.8378943088707675
144,-116.2070737149258
149,28.974221322878357
150,180.52417401500009
151,-27.727669862915995
152,-333.48565041319534
155,-53.218656881617186
156,202.0915765831603
157,434.4208495801369
162,-38.797418555280814
166,207.4069321122481
168,-0.4927813275278705
170,255.31750986941728
173,318.5643527126408
174,193.31429151987544
175,223.10739366585062
176,493.8294898991517
177,3.403365286554754
178,76.21069241497344
179,162.3880251220942
180,-22.757436477097244
183,208.86399972997557
184,81.17598418862981
187,-66.52117313969889
188,415.2384020053474
191,120.48988979167238
192,-79.44089930962691
194,179.10494831576418
195,-134.98953801429232
196,205.59761894000042
198,431.2675457721387
199,-94.71852501838411
203,-42.67587768941514
204,-181.97036219769655
205,2.9906504278516284
208,64.07494948136703
209,12.860296212378737
210,-119.20876210590698
211,28.210630735968216
212,-183.58308149092588
214,209.01674527762776
217,-92.76902790641795
218,-91.10917319248945
219,-152.797109400509
220,45.97324868012543
221,208.217698741051
222,-276.7897827160709
226,-42.19543294163892
227,-173.77444178544025
228,263.22164593666827
229,218.5477792789942
230,232.7298713877652
233,91.70005211563567
234,121.47619782059913
238,-228.1306750453022
